Team,Overall,Offense,Defense
Ohio State,35.5,24,29.6
Notre Dame,29.3,21.7,21.8
Alabama,29.2,20.7,20.7
Ole Miss,29.2,19.4,22.3
Oregon,29.2,24.8,16.7
Georgia,28.8,19.4,20.6
Texas,28.7,17.8,25
Penn State,28.6,18.8,23.1
Tennessee,25.3,14.2,20.2
Miami,23,27.3,2.2
Indiana,22.7,15.5,15.4
LSU,21.5,18.1,8.9
Texas A&M,21.2,12.4,13.2
SMU,20.5,18.3,8.2
South Carolina,20.5,9.5,16.2
Florida,19.8,9.5,12
Clemson,19.6,15.2,9.6
Michigan,19.2,0.9,21.3
Iowa,18.9,1.9,20.1
Missouri,18.8,10.9,13
USC,18.4,16.4,5.9
Louisville,18.3,17.5,7.2
BYU,17.8,8.7,11.9
Kansas State,17.7,11.6,10.6
South Dakota State,16.6,,
Oklahoma,16.5,2.3,14.1
TCU,16.5,13.4,6.3
Arizona State,16.3,10.1,9
Minnesota,16.1,-0.2,17.9
Iowa State,15.5,8.1,10.9
Arkansas,15.4,7.8,7.6
Auburn,15.2,3.3,13.1
North Dakota State,15.2,,
Army,14.5,2.7,8.8
Baylor,14.5,12.4,1.9
Colorado,14.5,10.4,4.9
Boise State,14.2,12.2,5
Illinois,14.1,4.7,8.7
Montana State,14,,
Utah,13.6,-3.6,15.6
Virginia Tech,13.6,5.9,7.6
Navy,13.4,2.1,3.6
Nebraska,12.7,-5.3,16.6
Memphis,12.4,13.3,-1.9
Kansas,12.2,9.5,2.3
UNLV,11.6,7.4,2.1
Texas Tech,11.4,13.3,-5.1
Kentucky,11.3,-2.9,10.6
Rutgers,11.3,3.8,4.9
Washington,11.2,3,8.5
Tulane,10.9,8.1,1.2
Syracuse,10.7,12.5,-3.5
Wisconsin,10.7,-4.1,12.4
Vanderbilt,10.1,2,2.5
UCF,9.9,5.1,1.9
North Carolina,9.4,7.4,-0.3
Duke,9.3,-0.6,7.1
Pittsburgh,9.3,4.4,0.2
Georgia Tech,9.2,5.9,0.7
South Dakota,8.7,,
California,8.6,-0.5,6.3
West Virginia,8.4,6.6,-3.1
NC State,8.3,3.8,-0.1
James Madison,8.2,2.6,4.2
Boston College,8.1,1.5,3.5
UCLA,7.7,-6.6,7.8
Marshall,7.5,2.3,-0.5
Cincinnati,7.1,-1.7,4.3
Texas State,7.1,8.9,-5.5
Air Force,6.7,-14.6,0.1
UTSA,6.4,6.9,-8.4
Washington State,6.4,11.3,-6.7
Louisiana,6.2,3.5,-2.6
Ohio,5.9,-2.3,3.8
South Alabama,5.3,2.4,-1.7
Florida State,5,-10.4,4.4
Oklahoma State,5,6.2,-6
UC Davis,4.8,,
Mississippi State,4.4,-0.1,-4.7
Maryland,4.3,-2.3,0.1
Miami (OH),4.3,-9.4,5
UConn,3.7,-3.5,-1.4
Arizona,3.5,-3.3,-3
East Carolina,3.3,-0.3,-5.3
Michigan State,3.1,-12.5,4.8
South Florida,2.8,2.4,-11.3
Montana,2.7,,
Jacksonville State,2.5,2.5,-5.9
Virginia,2.5,-5.1,-2.1
Liberty,2.3,-1.8,-2.7
Georgia Southern,2.1,-2,-6.5
Toledo,1.7,-5.6,-1.4
Fresno State,1.6,-4.5,-1.4
Houston,1.2,-14.3,5.2
Idaho,1.1,,
Wake Forest,0.9,-2,-7.5
Bowling Green,0.8,-6.1,-2.5
Northwestern,0.7,-13.5,3.9
Oregon State,0.6,-1.3,-6.6
